title,price,star_rating,availability,category
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,One,Yes,Home
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,Three,Yes,Home
This One Summer,19.49,Four,Yes,Home
Thirst,17.27,Five,Yes,Home
The Torch Is Passed: A Harding Family Story,19.09,One,Yes,Home
The Secret of Dreadwillow Carse,56.13,One,Yes,Home
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,One,Yes,Home
The Past Never Ends,56.5,Four,Yes,Home
The Natural History of Us (The Fine Art of Pretending #2),45.22,Three,Yes,Home
The Nameless City (The Nameless City #1),38.16,Four,Yes,Home
The Murder That Never Was (Forensic Instincts #5),54.11,Three,Yes,Home
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,Four,Yes,Home
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,Four,Yes,Home
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,Three,Yes,Home
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,Five,Yes,Home
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,One,Yes,Home
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,One,Yes,Home
The Death of Humanity: and the Case for Life,58.11,Four,Yes,Home
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,Three,Yes,Home
The Art Forger,40.76,Three,Yes,Home
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,One,Yes,Home
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,Five,Yes,Home
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,Four,Yes,Home
Soul Reader,39.58,Two,Yes,Home
Security,39.25,Two,Yes,Home
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,Three,Yes,Home
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,Two,Yes,Home
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,Two,Yes,Home
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,Three,Yes,Home
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,Five,Yes,Home
Princess Between Worlds (Wide-Awake Princess #5),13.34,Five,Yes,Home
"Pop Gun War, Volume 1: Gift",18.97,One,Yes,Home
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,Two,Yes,Home
Patience,10.16,Three,Yes,Home
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,Four,Yes,Home
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,One,Yes,Home
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,One,Yes,Home
On a Midnight Clear,14.07,Three,Yes,Home
Obsidian (Lux #1),14.86,Two,Yes,Home
My Paris Kitchen: Recipes and Stories,33.37,Two,Yes,Home
Masks and Shadows,56.4,Two,Yes,Home
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,Four,Yes,Home
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,Two,Yes,Home
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,Three,Yes,Home
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,Two,Yes,Home
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,One,Yes,Home
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,Two,Yes,Home
Join,35.67,Five,Yes,Home
In the Country We Love: My Family Divided,22.0,Four,Yes,Home
